,원문,번역문
189,Git hub 를 쓰면 보안에 문제없나요?,Is there any security problem when suing Github? <END>
190,GOC는 귀사에 회사의 이름을 수정한 뒤 FCO를 보낼 것입니다.,GOC will send FCO to your company after amending the name of the company. <END>
191,"GOC의 현제 일정은 22일 $170,000 송금하고 24일에 라고스 도착입니다.","Current schedule of GOC is to send $170,000 on 22nd, and to arrive in Lagos on 24th. <END>"
192,gredoo는 태극기 게양률을 높일 방법에 대해서 고민했습니다.,Gredoo thought about how to improve the rate of hoisting the national flag known as Taegeukgi. <END>
193,"H100의 수량과 도착지를 기준으로 삼아서, 바퀴를 도착지별로 분류해 보았습니다.","We divided tires and wheels by destination, based on the numbers and stops of H100. <END>"
194,Hero C 는 단순한 방치형 게임에 질려있던 많은 유저의 흥미를 유발할 것입니다.,Hero C will draw interest to many users who were fed up with simple negligent games. <END>
195,"Hero C는 현재 영어, 일어, 한국어를 지원하고 있고, 더 많은 언어를 지원할 것입니다.","Hero C currently supports English, Japanese, and Korean language, and plan to provide more languages. <END>"
196,HOB의 견적서를 첨부하여 전송해드립니다.,I send attaching the price quotation of HOB. <END>
197,Howtoons는 아이들이 소다 물병을 이용한 로켓을 만드는 법을 알려줍니다.,Howtoons teach kids how to make rockets with soda bottles. <END>
198,H사에서 TVI3.0이라고 판매하고 있는 DVR은 여러 종류의 시리즈가 있습니다.,There are various types of DVR sold as TVI3.0 by company H. <END>
199,INT Value 는 느린 셔터 속도 기능과 동일한 값입니다.,INT Value is the same value as the slow shutter function. <END>
200,"Intergard 475 paint에 대해서는, 내일 작업을 시작할 예정입니다.","For Intergard 475 paint , we'll start work tomorrow. <END>"
201,IRIS의 장점은 쉽다는 것이에요.,Advantage of IRIS is that it's easy. <END>
202,J 선생님은 더 이상 변동없이 아이들을 잘 이끌어줄 선생님이라고 의견을 모았습니다.,Faculties had consensus that teacher J would lead children without no more change. <END>
203,J는 학창 시절에 날라리였어요.,J was a punk in schooldays. <END>
204,JJ에서 진행 가능한 행사인지 판단할 수 있도록 관련 정보를 간략히 기입해 주시면 됩니다.,Please make sure to simply fill out the relevant information to determine whether it is possible and workable event to schedule at JJ. <END>
205,John walker Tuning Fork을 구매하고 싶습니다.,I want to purchase a John Walker Tuning Fork. <END>
206,Johnsy는 떨어지지 않는 마지막 잎을 보며 희망을 얻어 점점 건강해졌어요.,"Getting a hope, Johnsy became healthy gradually after seeing the last leaf which was not falling from the tree. <END>"
207,"JW홀딩스는 카오리온의 대표 제품을 중국 진출 및 유통, 마케팅에 매칭 할 계획이에요.","JW Holdings is planning to match the representative product of Caolion to entry, distribution, and marketing for China. <END>"
208,K5의 두 번째 비상을 주목하세요.,Please be attention of the second soaring of K5. <END>
209,Kaizen을 꾸준히 진행하기 위해 종업원들에게 동기부여와 매달 우수 사원에게 포상을 실시해야 합니다.,We should motivate the employees and reward a selected excellent staff every month to continuously proceed with Kaizen. <END>
210,KBS의 VJ특공대라는 프로그램이야.,It's a program called VJ Commando of KBS. <END>
211,KCC건설의 새로운 아파트 브랜드 스위첸이에요.,"This is a new apartment brand KCC Construction, Seuwichen. <END>"
212,"KEPCO는 공기업이어서 미래에 대한 안전성이 높고 급료도 높으며, 제가 전력에 흥미가 있기 때문이에요.",KEPCO is a public company so it provides a highly stable future and pays and I am interested in electric power. <END>
213,"Kim, 오늘 미팅에 오기 전에 너의 발표자료를 교수들에게 보냈니?","Kim, have you sent the presentation files to the professors before coming to today's meeting? <END>"
214,KT가 리얼웨이 부문에서 1위를 차지했어요.,KT took first place in the railway category. <END>
215,Lacquerware 카테고리의 제품은 전부 세라믹 제품입니까?,"In Lacquerware category, is everything ceramic product? <END>"
216,"Lara의 가발은 Luts doll에서 나온 가발이며, 5.5~6인치 길이입니다.","Lara's wig is Luts doll's wig, and it's 5.5~6 inch long. <END>"
217,LEGO 글자는 약간 사이즈를 줄여주시고 제품 사진을 좀 크게 해주세요.,"Please, make the letters of lego smaller and the picture of the product more prominent. <END>"
218,Les Roches에서 공부할 수 있는 좋은 기회가 저에게 주어졌으면 좋겠습니다.,I wish I could get a precious opportunity to study at Les Roches. <END>
219,LG 총무팀에서 마지막날 머무를 뮌헨 호텔 주소가 확인이 안 된다고 합니다.,The LG’s General Affairs Team mentioned that the address of the hotel in Munich for the last day is not confirmed. <END>
220,LG에서 내부 승인을 위해 출장기간 동안 머무를 호텔정보가 필요합니다.,We need information on the hotel for the business trip for internal approval at LG. <END>
221,LG쪽에서 이번 출장을 위해서 오늘 중으로 호텔 정보를 받아야 된다고 합니다.,LG needs to get the hotel information by today for this business trip. <END>
222,"LMS 시스템이 들어갈 수도 없어서, BZD 과제나 시험에 대해서 정보를 알 수가 없어요.","I cannot access the LMS system, so I can't get any information regarding tests or BZD assignments. <END>"
223,Majestic Theater 은 아주 오래된 극장입니다.,Majestic Theater is a very old theater. <END>
224,Mardi Gras는 부활절 46일 전에 열려서 해마다 날짜가 바뀌기로도 유명합니다.,"Mardi Gras is held 46 days before Easter, so it is also well known to be on a different date every year. <END>"
225,Marvel 영화 보는 순서 어디까지 알고 있니?,How far do you know about the sequence of watching Marvel movies? <END>
226,"Master Conciny에 있는 상세 연락처가 당신의 것으로 되어있기 때문에, 항공사는 당신에게 연락을 할 것입니다.","Because the contact detail in the Master Conciny is yours, so the airplane company will contact you. <END>"
227,Mattie는 자신의 희망을 포기하지 않는 사림이에요.,Mattie is a person who never gives up his hope. <END>
228,MDB문서를 받을지 말지 사업주와 아직 결정이 되지 않았기 때문에 새로운 VDR에서는 제외하였습니다.,We excluded it from the new VDR since we've not decided with the business proprietor if MDB document should be received or not. <END>
229,MG42로 잡고 있는 동안 날려버려.,Just blow it off when holding onto MG42. <END>
230,mh로 진행해주세요.,Please proceed with mh. <END>
231,MIUSA와 연락하실 때 당신이 미주와 만났었다고 전해주세요.,"When you are making a contact with MIUSA, please tell them you have met with Mijoo. <END>"
232,Mocha skin은 당신이 건강한 구릿빛 피부색을 원한다면 추천할만한 피부입니다.,The Mocha skin is a recommended skin if you want a healthy brownish skin color. <END>
233,Mocha Skin은 만들기가 너무 힘들어서 제가 겨울에만 판매하는 것입니다.,I sell Mocha Skin only in winter because it is too hard to make them. <END>
234,"Moko는 손에 쥘 만한 크기의 나무 조각상으로, 번역하면 ""도마뱀""이란 뜻이에요.","Moko is a hand-held sized wooden figure, and it is translated as “lizard”. <END>"
235,Motss와 Brean은 컴퓨터그래픽을 이용해 가상의 전쟁 장면을 만들고 방송에 내보냅니다.,Motss and Brian use computer graphics to create imaginary war scenes and broadcast them on television. <END>
236,MSDS는 국제적으로 화학 제품에 통용되는 물질안전보건자료이에요.,MSDS is material safety data sheets that are internationally used for chemical products. <END>
237,"MSDS는 화학물질의 명칭과 취급 주의사항, 화재 폭발 시 요령 등을 기록환 취급 설명서입니다.","MSDS is an instruction manual that records the name of the chemical materials, handling precautions and tricks in case of fire explosions. <END>"
238,Nails가 2주년을 맞이하였습니다.,Nails has become 2 years old. <END>
239,NASA의 4D프린팅을 사용해 다양한 지형에서도 내부를 보호해요.,It protects the interior from various terrains using NASA’s 4D printing. <END>
240,NGO 배송 건 역시 29일까지 출하 정보를 전달해 주신다면 일요일 선적 예약이 가능합니다.,Delivery to NGO can also be arranged for Sunday shipment if you give us the information by 29th. <END>
241,"Nina는 sweet mocha skin이고 ,배송기간은 두 달 정도 걸린다.","Nina has a sweet mocha skin, and it takes two months to deliver. <END>"
242,NTF는 5%로 감소했습니다.,NTF decreased to 5%. <END>
243,"NY 향 PO만 첨부되어 있고 RE 향 PO는 없는데, 어떻게 된거죠?","Only PO for NY port is attached, and there is no PO for RE port, so what's the matter? <END>"
244,"N서울타워는 동양 최고의 타워라고 불리기 때문에, 우리는 이 타워를 다른 도시에 비해 가치 있다고 볼 수 있습니다.","As N Seoul tower is called the best tower of the Orient, we can see this tower is valuable compared to other cities. <END>"
245,OHORA의 비전은 시장의 판도를 네일폴리쉬를 바르는 것에서 붙이는 것으로 바꾸고 있습니다.,The vision of OHORA is changing the market from wearing nail polish to attaching it. <END>
246,onvif 사이트에서 아직 귀사 제품은 서치가 되지 않고 있습니다.,"Also, your products cannot be found on onvif site yet. <END>"
247,OSD 메뉴 SYSTEM 쪽을 보면 아웃풋 을 변경할 수 있다.,You can change the output if you look at the SYSTEM part of the OSD menu. <END>
248,PayPal에 분명히 밝혔으니 귀하의 후원금에는 문제가 없을 겁니다.,There would be no problem with your donation because I have clearly mentioned about it to PayPal. <END>
249,PI에게 그것을 전달해주시기 바랍니다.,Please pass on to PI. <END>
250,PIC에서 PED가 승인되었습니다.,PED has been approved at PIC. <END>
251,PoE 박스 사이즈 감소에 대한 정보를 기구 팀으로부터 전달 받았습니다.,I received information about size reduction of PoE box from the equipment team. <END>
252,PoE와 DC 전원을 분리하여 사용 시 DC 전원은 5V를 입력해야 해요.,"When using it by separating PoE and DC power, the power of DC should be entered as 5V. <END>"
253,Polisys의 리모컨 조절 기계는 동영상을 통해서 보았습니다.,I have already seen the Polisys' remote-controlled machine. <END>
254,Qc에 메일 보낸 메일을 전달받았습니다.,The mail to Qc was forwarded. <END>
255,Raccooondoll은 3명의 직원과 다양한 아티스트들의 협업으로 이루어져 있는 작은 회사입니다.,Raccooondoll is a small company run by the cooperation of 3 workers and various designers. <END>
256,RESIN은 디핑 방식이고 PU 코팅은 한쪽면만 코팅입니다.,"RESIN is the dipping method, and PU coating is a one-side coating. <END>"
257,Retba Lake는 딸기우유 호수라고 불리는데요.,The Retba Late is called as the strawberry lake. <END>
258,"ROHS 인증에 대해 확인한 결과, 우리는 자체선언으로 해당 인증을 진행해요.","After confirming the ROHS certification, we carry out the certification with our declaration. <END>"
259,SGN이 카밤 밴쿠버 인수 효과를 볼까?,Will SGN obtain an effect from taking over Kabam Vancouver? <END>
260,SKU 제품은 더는 리스팅 하지 않겠어요.,We are not listing SKU products anymore. <END>
261,Sodium Laureth Sulfate 이름을 사용하시길 바랍니다.,"Please use ""Sodium Laureth Sulfate” as a name. <END>"
262,SpaceX가 수직이착륙 로켓을 개발하여 여러 비행시험을 시행한 사례가 있습니다.,SpaceX has developed a VTOL rocket and did a test flight. <END>
263,Specktakel 레스토랑의 수석 셰프 Den Hartogh는 음식 맛이 좋다고 극찬을 받았습니다.,"Den Hartogh, the head chef of Specktakel, was complimented on his delicious food. <END>"
264,Spender는 사람 이름으로 사용도 하지만 그보다 돈을 쓰는 사람이란 뜻의 키워드 도메인이에요.,Spender is used for keywords of the domain as the meaning of spending money more than using for people's name. <END>
265,Starbucks가 우리 동네에 분점을 열었어요.,Starbucks opened a franchise in our town. <END>
266,Suez canal을 장악하여 동양으로 가는 제해권을 선점했어요.,They ruled the sea to the East by seizing the Suez Canal. <END>
267,Sweet camera plus를 몇 번이고 검색해도 앱스토어에 뜨지 않아요.,"I tried searching for Sweet Camera Plus on app store again, but it doesn't show the app. <END>"
268,Sweet mocha는 우리 회사에서 가장 인기 있는 피부색입니다.,Sweet mocha is the most popular skin color in our company. <END>
269,"SWK는 자체 엔진을 통하여 건축물의 규모, 형태, 사용 용도, 사업구조 등을 계획합니다.","SWK designs sizes, shapes, usage, and business structure of buildings via our own engine. <END>"
270,Tanuki를 영어로 뭐라고 하나요?,How do you say Tanuki in English? <END>
271,Taobao에서 제품을 내리도록 해.,Get the products out on Taobao. <END>
272,"The Giver'에서 미래의 커뮤니티라는 공동체는 전쟁, 차별, 고통, 굶주림 등이 없는 걸 목표로 하는 공동체입니다.","The future community in 'The Giver' is a community that aims for the absence of wars, discriminations, pain, and starvation. <END>"
273,TOMO의 팬 페이지에 온 것을 환영해요.,Welcome to the fan page of TOMO. <END>
274,Tree of Life의 작동이 중지되었습니다.,The operation of Tree of Life has been stopped. <END>
275,True colors'는 애니메이션 '트롤'을 보다가 OST가 좋아서 알게 된 노래입니다.,I got to know about this song 'True colors' while watching the animation 'Troll' because the OST was good. <END>
276,TTF의 임원인 당신들을 위해 국기원과 대사관으로부터 감사장을 준비했습니다.,"For you TTF board members, I have prepared a letter of appreciation from the embassy. <END>"
277,TVI 2.0 카메라가 TVI 3.0 DVR과 문제 없이 동작하는 것을 확인했습니다.,We have confirmed that the TVI 2.0 camera works well with TVI 3.0 DVR without any issues. <END>
278,T모델의 할인 가격에 대해 너도 분명히 마음에 들어 했었죠.,You surely liked the discounted price of model T. <END>
279,Uluru는 지구의 배꼽이라고 불립니다.,Uluru is called the navel of the earth. <END>
280,University of San Jose-Recoletos에 갔을때 나의 최우선 목표는 영어를 배워 영어실력을 쌓는거예요.,My top priority goal in the University of San Jose-Recoletos is developing my English proficiency by learning English. <END>
281,UPS에서 물품을 예정대로 10월11일에 픽업하였고 이제 통관이 완료 되었습니다.,"We picked up the item in UPS on October 11th as planned, and the clearance has been completed. <END>"
282,VR과 AR의 가장 큰 차이점은 그 객체가 '실제'냐 '허상'이냐에 있습니다.,The biggest difference between VR and AR is whether the object is 'real' or 'illusion’. <END>
283,Walt Disney에는 유명한 캐릭터들이 많았습니다.,There were a lot of famous characters in Walt Disney. <END>
284,Wehotel CRS와 함께 PMS 와 인터페이스 작업을 진행해야 한다고 알고 있습니다.,I know that we have to carry out PMS and interface operation with Wehotel CRS. <END>
285,Wheel과 관련하여 연락드렸습니다.,I have contacted you regarding Wheel. <END>
286,Window에 있는 것과 같은 것을 보여주세요.,Please show me the same on which is in Window. <END>
287,"XXG로 다시 진행하고자 하니, 가능한 빠른 일정 확인해서 알려주세요.","I want to proceed again with XXG, so please check back as soon as possible. <END>"
288,Zhuo랑도 언제 오냐구 얘기하고 해서 나는 여기 네 명의 모임이 있다고 생각했어요.,I thought that we have meeting in here of our four because we talked with Zhuo about when to come. <END>
289,가디언즈 오브 갤럭시 2'는 5월 3일 '캐리비안의 해적 5'는 5월 26일 개봉 예정이에요.,Guardians of Galaxy2' is dated on May 3rd and 'The Pirates of the Carabian5' is going to be open on May 26th. <END>
290,가리산 근처 막국수 집이 유명해요.,Makguksu restaurant near Garisan mountain is popular. <END>
291,가마쿠라의 거리는 어떤 분위기에요?,What are the streets of Kamakura like? <END>
292,"가브리엘씨, 미국 잘 도착했어요?","Mr. Gabriel, did you arrived well in America? <END>"
293,가은이는 장난스럽고 친근한 좋은 친구예요.,Ga-eun is a good friend who is mischievous and friendly. <END>
294,가은이는 정말로 좋은 친구인 것 같아요.,I think Ga-eun is a really good friend. <END>
295,가을 동에 화장품 매장들이 많습니다.,There are many cosmetic shops in the Gaeul wing. <END>
296,"가자미찜, 회, 해물탕 등을 판매합니다.","It serves Gajamijjim(Braised sole), Hoe(Sliced and raw fish), Haemul-tang(Spicy seafood stew) etc. <END>"
297,가천대길병원은 인천 남동구 구월동에 있어요.,"Gacheon University Gil Medical Center is located in Kuwoel-dong, Namdong-Gu, Incheon. <END>"
298,가평은 한국에서 유명한 휴가지입니다.,Gapyeong is a famous vacation spot in Korea. <END>
299,가평은 한국의 유명한 관광지에요.,Gapyeong is a famous tourist destination in Korea. <END>
300,간다 양이 암이라고 저는 들었어요.,I heard that Miss Kanda has cancer. <END>
301,간사이 공항에 9시에 도착할 것 같습니다.,I can be at Gansai airport by 9. <END>
302,간절곶은 우리나라에서 일출이 가장 빠른것으로 유명하고 멋진 배경으로 드라마도 많이 찍어서 많은 관광객들이 찾는 명소이에요.,"Ganjeolgot is famous for staging the fastest sunrise in Korea, and it is also a famous tourist spot with its beautiful scenery; many dramas were taken in there. <END>"
303,간화선의 문답은 지금의 많은 학자에 의해 불교가 아닌 아류쯤으로 취급받고 있습니다.,Ganhawsun's questioning and answering are not treated as Buddhism but its imitator. <END>
304,갈비에 와인을 먹어 본 적이 있나요?,Have you ever tried Galbi with wine? <END>
305,갈비탕 한 그릇의 가격은 얼마인가요?,How much does a bowl of Galbitang cost? <END>
306,감자탕은 무료 서비스로 나옵니다.,Gamjatang is served free of charge. <END>
307,강강술래는 우리가 잘 아는 놀이입니다.,We know the game of Ganggangsulae very well. <END>
308,강강술래의 유래는 두 가지이에요.,There are two origins of Ganggangsulae. <END>
309,강남 맛집 애슐리 딸기 축제가 시작되었습니다.,"The strawberry festival of Ashely, one of the most famous restaurants in Gangnam has begun. <END>"
310,강남 지역은 서울에서 가장 번화한 곳입니다.,Gangnam is one of the neatest and fanciest areas in Seoul. <END>
311,강남 터미널이 너의 집과 가까워.,Gangnam terminal is close to your house. <END>
312,강남에는 많은 클럽과 술집이 있어요.,There are many clubs and pubs in Gangnam. <END>
313,강남에는 항상 사람이 너무 많아요.,There are always so many people in Gangnam. <END>
314,강남에서 가장 인기 있는 스파숍은 어디인가요?,Which spa is the most popular in Gangnam? <END>
315,강남역까지 몇 정거장 남았습니까?,How many stops away is Gangnam station? <END>
316,강남스타일을 부른 가수는 우리나라 사람이야.,It's Korean who sang Gangnam-style. <END>
317,"강남역에는 다양한 레스토랑, 카페, 쇼핑 샵들이 많아 항상 수많은 젊은이들로 붐빕니다.","Gangnam Station is always crowded with young people since there are many restaurants, cafes, and stores. <END>"
318,강동원이 누구랑 사귀고 있다는 소문을 팬들이 들었어.,The fans have heard that Kang Dong-won is in a relationship with someone. <END>
319,강릉은 옛 자취를 많이 가지고 있어.,Gangleung has a lot of old traces. <END>
320,강릉원주대 LINC사업단에서는 대학생들의 자전거 카페테리아 동식이네를 선보입니다.,Gangneung Wonju National University LINC business group is showcasing a bicycle cafeteria Dongsik's run by college students. <END>
321,강림과 해인의 내부 문제로 인해 보온 작업자들이 계속 출근을 하지 않고 있는 상황입니다.,"Due to Kanglim and Haein's internal problem, workers whose main job is to keep the water warm are not coming to work. <END>"
322,강화 문학관에는 어떤 것들이 전시되어 있나요?,What things are exhibited in the Gangwha Literature Museum? <END>
323,"강화도에 유명한 김치가 있다던데, 무엇인가요?","It is told that there is a famous Kimchi in Ganghwado, what is it? <END>"
324,강화도에서 자전거 여행이 가능한가요?,Is it possible to tour Ganghwado by bike? <END>
325,개그 콘서트 에서 뭐가 제일 웃겨요?,What's the funniest thing at Gag Concert? <END>
326,개그 콘서트의 개그맨들은 모두 유머러스합니다.,All the comedians in Gag Concert are humorous. <END>
327,개리는 그녀의 가방에 뭘 넣었을까요?,What does Gary put into her bag? <END>
328,개선문은 전쟁을 기념하기 위해 세워졌습니다.,Triumphal arch was built to celebrate the war. <END>
329,갤러리아 백화점 주변은 번화가에요.,The place around the Galleria Department store is a busy street. <END>
330,갤럭시 호텔에서 당신 집까지 얼마나 걸리나요?,How long does it take from the Galaxy hotel to your home? <END>
331,갤럭시는 방수기능이 돼서 방수팩을 구입할 필요가 없고 물속에서도 셔터 버튼만 눌러도 사진과 동영상을 찍을 수 있습니다.,"As Galaxy has the waterproof function you can take pictures and videos in the water, of course, you do not have to buy a waterproof bag. <END>"
332,갤럭시는 운영체제를 기본 체제로 하여 모든 사람이 편하게 쓸 수 있습니다.,Galaxy is based on an operating system that everyone can use it easily. <END>
333,갤럭시8 시리즈 스마트폰 제품이 문제 없이 연결이 잘 되면 구매하신 제품은 이상이 없는 제품입니다.,"If Galaxy8 series smartphone is connected without causing any issues, it means the product you have purchased is in normal condition. <END>"
334,갯벌타워 앞에 내려달라고 하면 되는 거죠?,Should I ask to get off at Getbeol Tower? <END>
335,거꾸로 학습법은 전통적인 수업 방식과 반대되는 형태로 수업이 진행됩니다.,Flipped learning is conducted in an opposite way from the traditional education. <END>
336,"건빈아, 나 옆집 살던 보히야.","Gunbin, I'm Bohee who lived next to your house. <END>"
337,게이밍 프로는 1개의 공장을 보유하고 있으며 그 공장의 최대 수용력은 월 2000개의 PC입니다.,GamingPro owns only a factory that has a maximum capacity of 2000 PC per month. <END>
338,겐조 키즈 18FW 언제 다 받을 수 있습니까?,When can I receive all the Kenzo Kids 18FW? <END>
339,"겨울왕국의 스토리는 몹시 탄탄하며 나오는 등장인물들 또한 몹시 귀엽고, 함께 나오는 노래들 또한 우리가 좋아하기에 충분해요.","The story of the Frozen is very solid and the characters appearing are also very cute, and the songs that come together are also enough for us to like. <END>"
340,"경기대학교는 내가 원하는 학과가 있고, 나는 여기에 예전부터 가고 싶었습니다.","There is the major I want in Kyonggi University, and I have always wanted to go there. <END>"
341,경리단길은 평소에는 여느 동네와 다름없이 평범할 수 있으나 매년 10월 중순이 되면 지구촌 축제가 열리는 곳이에요.,"Gyeongridan-Gil is normal like other neighborhood in normal times, but Global Village Festival is held every mid-October. <END>"
342,경복은 하늘이 내린 큰 복이란 뜻이래.,Kyungbok means a huge luck from heaven. <END>
343,경복궁가시려면 이번 역에서 내리세요.,Get off at this stop to go to Kyunbockgung Palace . <END>
344,경복궁에 대해 잘 안다면 가이드 좀 해줄 수 있나요?,"If you know well about Gyeong-bok palace, then can you show me around? <END>"
345,경복궁은 정말 크고 멋진 성이라고 생각해요.,I believe that Gyeongbokgung Palace is a pretty big and awesome palace. <END>
346,경복궁은 조선 시대 왕궁이야.,Kyunbockgung Place is the Joseon dynasty royal palace. <END>
347,경복궁은 한국의 전통적인 궁입니다.,Gyeongbok Palace is a Korean traditional palace. <END>
348,경상도 특유의 넘치는 정을 느낄 수 있어요.,You can feel unique and generous affection from Gyeongsangdo. <END>
349,경주는 데이트하기 좋은 곳이에요.,Gyeongju is a nice place to have a date. <END>
350,경주는 불교의 나라인 신라의 수도였습니다.,"Kyungju was the capital of the Buddhist country, Shilla. <END>"
351,경주는 한국의 가장 전통적인 도시예요.,Kyoungju is the most traditional city in Korea. <END>
352,경포대는 물이 깨끗하고 수심이 깊어 사람들이 많이 갑니다.,Many people go to Gyeongpodae Pavilion because the water there is clean and deep. <END>
353,고구려의 한복은 남녀 모두 저고리가 엉덩이까지 내려왔으며 귀부인일수록 바지의 폭이 넓었습니다.,Hanbok for both male and female of Goguryeo has its jeogori coming down to person's butt and the pants' width was larger if the person who wears it was an aristocrat. <END>
354,고려부터 출신에 따라 복식에 색깔을 입혔어.,Colors on uniforms were different depending on the person's family since the Goryeo era. <END>
355,고양종합운동장에서 축구를 보려고 하는데요.,I'd like to watch a soccer game at the Goyang Sports Complex. <END>
356,고와꽃방은 독특한 아이스크림 꽃가게예요.,Kowa Flower Shop is the unique ice cream flower shop. <END>
357,고조선 과 부여가 있습니다.,There are Gojoseon and Buyeo. <END>
358,고토 의사가 수술을 담당했던 시체에서 신장이 적출되어 있었습니다.,The kidney was taken away from the corpse that Dr. Goto was in charge of operation. <END>
359,관용이 소속 부대가 인천에 있었어요.,The regiment that Gwanyong belongs to was located in Incheon. <END>
360,광주 월드컵경기장에 가족과 같이 붉은악마 티셔츠를 입고 응원을 하러 갔었습니다.,I went to the GwangJu World Cup Stadium with my family and everyone wore a red shirt to cheer for Korea. <END>
361,광주는 한국에서 다섯 번째 큰 도시예요.,Gwangju is the fifth biggest city in Korea. <END>
362,광주고등학교는 부산외대와 같이 매우 높은 곳에 있고 남자 고등학교입니다.,Gwangju high-school is located on a very high place like Busan University of Foreign Studies and it is a boy's high-school. <END>
363,괴벨스의 선전을 이용한 이 속임수가 선거를 승리로 이끄는 데 큰 역할을 합니다.,"This deceit, which used Goebbels' propaganda, played a leading role in winning the election. <END>"
364,구곡 폭포는 아홉 굽이를 돌아서 떨어지는 폭포라 하여 붙여진 이름으로 일명 구구리 폭포라고도 불립니다.,"Gugok waterfall was named because it is a waterfall that spins around 9 curves, and it is also known as Guguri waterfall. <END>"
365,구글 환경설정에서 검색기록 지우기를 어떻게 해야 하는지 저에게 알려주세요.,Please let me know how to erase the search history on Google Settings. <END>
366,구글은 자율성이 보장되는 회사이며 강압적인 분위기가 아닙니다.,Google is a company guaranteeing autonomy and has no coercive working environment. <END>
367,구글이 가지고 있는 이점을 이용하여 우리의 회사의 단점을 보안한다면 많은 발전을 할 수 있을 것이에요.,We will be able to make great development if we complement the shortcomings of our company using the merits of Google. <END>
368,구름이는 작은 소리에도 잘 짖어요.,Gooreum barks a lot for small sounds. <END>
369,군산 새만금에서 낚시를 해볼 계획이에요.,I'm planning to fish at Gunsan Saemangeum. <END>
370,군포에서 속초 가려면 어떻게 가면 되죠?,How can I get to Sokcho from Goonpo? <END>
371,굴포천 역 근처로 어떻게 가야 하는지 알려주세요.,Tell me how to get to near Gulpocheon station. <END>
372,굿 레몬 타임은 상큼해지는 시간이에요.,Good Lemon Time is a time when you get refreshing. <END>
373,"규비스오빠, 오늘도 파이팅.","Keep it up today, too, Gyubis. <END>"
374,그랑프리경주의 우승 마주가 되길 바랍니다.,I hope you can be the winner of Grand Prix. <END>
375,그랜드 웨딩의 향을 맡아 볼 수 있을까요?,May I smell the scent of Grand Wedding? <END>
376,그레이스 은행 계좌를 만들 수 있나요?,Can I open an account with Grace Bank? <END>
377,글꽃나래에서 주최하는 문예 캠프는 문예에 관심 있는 학생들과 함께 학교에서 1박 2일 동안 진행되는 캠프입니다.,Literature camp is held in Ggulggottnare which is a camp ongoing for one and a half-day for students who are interested in literature. <END>
378,"글로벌 잉글리쉬 수업은 여기서 끝났지만, 저는 앞으로도 영어에 흥미를 가질 것이에요.",I will continue to have an interest in English although my Global English class is over. <END>
379,금오산 아래 낙동강이 아름다운 이곳 구미시 승마장은 전국 최초의 공식 승마길로 국내 유일의 크로스컨트리 경기장입니다.,This horseriding course in Gumi under the Kumho Mountain which is famous for the beautiful Nakdong River is the only cross country stadium that is known as the first official horse riding road. <END>
380,금정역에서 서울행 기차로 갈아타세요.,Transfer to a bus bound for Seoul at Geumjeong station. <END>
381,기독교인들은 그들의 이웃이 되어줘야 해요.,Christians must be their neighbors. <END>
382,기형도 시인의 대표작은 무엇인가요?,What is the major work of the poet Hyung Do Ki? <END>
383,길동은 알록달록 꽃이 피고 나비가 훨훨 날아다니는 아름다운 나라에서 행복하게 살았답니다.,Gil-dong lived happily in the beautiful nation which had colorful flowers and flying butterflies. <END>
384,길드 스킬에는 3가지가 존재합니다.,There are three Guild Skills. <END>
385,길복은 당신의 소중한 생각들을 다른 사람들과 공유하는 공간입니다.,Gilbok is a place to share your precious thoughts with others. <END>
386,"김 씨, 이 씨와는 처음 만나는 건가요?","Mr.Kim, is this your first time with Mr.Lee? <END>"
387,김건모 테이프가 안 나와.,The Kim Gunmo tape isn't coming out. <END>
388,김단비학생이 우리에게 질문했습니다.,Danbi Kim student asked us a question. <END>
389,김민수 변호사에게 전해 듣기로는 햇빛을 많이 받아서 얼굴이 많이 탔다고 들었어.,I heard from lawyer Kim Min-soo that your face has gotten very tan because you are out in the sun a lot. <END>
390,김밥에는 몸에 좋은 채소가 많이 들어있습니다.,There are many vegetables which are good for health in Kimbab. <END>
391,김밥은 소금과 참기름으로 맛을 낸 밥을 여러 속 재료를 넣고 김으로 말아서 한입 크기로 썰어낸 음식입니다.,"Gimbab is a Korean dish made from seasoning rice with salt and sesame oil and various other ingredients, rolled with the seaweed laver and served in bite-size slices. <END>"
392,김연아 선수가 죽음의 무도를 연기했습니다.,"Kim, Yuna acted the Dance of Death. <END>"
393,김연아 선수가 금메달을 딸 것이 확실합니다.,"Kim, Yuna is for sure to win the gold medal. <END>"
394,김연아는 대한민국의 전 국가대표선수이자 대한민국 최초의 올림픽 메달리스트예요.,Yeon-ah Kim is a former national representative athlete and also the first Olympic medalist in Korea. <END>
395,김영호씨는 어디 계신가요?,Where is Yeongho Kim? <END>
396,김자반은 김에다가 양념을 한 반찬이야.,Gimjaban is a side dish that seasoned the laver. <END>
397,김철수에 대해서 정확한 문제가 무엇인지 나에게 알려주실 수 있나요?,Could you tell me what the exact problem of Chulsoo Kim is? <END>
398,김치 치즈 냄비 정식으로 주세요.,"Please, give me Kimchi cheese nabe set. <END>"
399,김치는 위암을 유발하는 요인으로 알려져 있습니다.,Kimchi is known for causing stomach cancer. <END>
400,김치와 단무지 외에는 또 다른 반찬은 없어.,There is no other side dishes except Kimchi and pickled radish. <END>
